ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176586,Google Phone,1,600,04/10/19 17:00,"365 Center St, San Francisco, CA 94016"
176587,27in FHD Monitor,1,149.99,04/29/19 19:38,"557 5th St, Los Angeles, CA 90001"
176590,Google Phone,1,600,04/11/19 11:46,"873 6th St, New York City, NY 10001"
176591,Apple Airpods Headphones,1,150,04/21/19 07:21,"600 Maple St, Austin, TX 73301"
176592,USB-C Charging Cable,1,11.95,04/27/19 13:04,"352 4th St, Los Angeles, CA 90001"
176593,Lightning Charging Cable,2,14.95,04/15/19 13:45,"906 7th St, Portland, OR 97035"
176594,Wired Headphones,1,11.99,04/17/19 23:04,"63 Maple St, San Francisco, CA 94016"
176596,Apple Airpods Headphones,1,150,04/27/19 20:11,"572 Meadow St, Dallas, TX 75001"
176597,USB-C Charging Cable,1,11.95,04/19/19 13:39,"681 11th St, San Francisco, CA 94016"
176598,AAA Batteries (4-pack),2,2.99,04/21/19 20:33,"294 Park St, San Francisco, CA 94016"
176599,Lightning Charging Cable,1,14.95,04/11/19 15:25,"279 Maple St, New York City, NY 10001"
176600,27in 4K Gaming Monitor,1,389.99,04/30/19 15:54,"87 West St, Boston, MA 02215"
176602,Lightning Charging Cable,1,14.95,04/30/19 09:39,"9 Jefferson St, Dallas, TX 75001"
176605,USB-C Charging Cable,1,11.95,04/15/19 16:29,"717 Pine St, San Francisco, CA 94016"
176606,LG Dryer,1,600.0,04/21/19 14:16,"487 Maple St, San Francisco, CA 94016"
176607,AAA Batteries (4-pack),2,2.99,04/18/19 12:11,"689 10th St, Boston, MA 02215"
176608,iPhone,1,700,04/11/19 12:01,"15 Cherry St, San Francisco, CA 94016"
176609,Apple Airpods Headphones,1,150,04/11/19 16:59,"267 11th St, Austin, TX 73301"
176610,AAA Batteries (4-pack),1,2.99,04/26/19 00:40,"382 River St, Dallas, TX 75001"
176611,Bose SoundSport Headphones,1,99.99,04/30/19 13:16,"971 Sunset St, San Francisco, CA 94016"
176613,USB-C Charging Cable,2,11.95,04/26/19 18:58,"405 4th St, New York City, NY 10001"
176615,Lightning Charging Cable,1,14.95,04/30/19 10:35,"833 River St, Dallas, TX 75001"
176617,Apple Airpods Headphones,1,150,04/25/19 08:03,"319 8th St, Portland, OR 97035"
176618,Lightning Charging Cable,2,14.95,04/18/19 21:44,"273 South St, San Francisco, CA 94016"
176619,Flatscreen TV,1,300,04/16/19 18:37,"116 North St, Los Angeles, CA 90001"
176620,USB-C Charging Cable,1,11.95,04/17/19 10:39,"994 Pine St, Los Angeles, CA 90001"
176621,Lightning Charging Cable,1,14.95,04/11/19 16:09,"863 8th St, Boston, MA 02215"
176622,AA Batteries (4-pack),1,3.84,04/11/19 20:16,"983 11th St, San Francisco, CA 94016"
176623,27in FHD Monitor,1,149.99,04/20/19 23:51,"807 12th St, Atlanta, GA 30301"
176624,AA Batteries (4-pack),1,3.84,04/28/19 10:44,"664 Church St, Seattle, WA 98101"
176625,AAA Batteries (4-pack),2,2.99,04/24/19 19:00,"858 5th St, San Francisco, CA 94016"
176627,Wired Headphones,1,11.99,04/21/19 14:57,"994 13th St, Atlanta, GA 30301"
176628,Lightning Charging Cable,2,14.95,04/15/19 04:03,"628 Wilson St, Dallas, TX 75001"
176629,USB-C Charging Cable,1,11.95,04/24/19 11:56,"101 Lincoln St, San Francisco, CA 94016"
176630,Google Phone,1,600,04/10/19 05:01,"770 Maple St, San Francisco, CA 94016"
176631,USB-C Charging Cable,1,11.95,04/13/19 18:48,"292 Dogwood St, San Francisco, CA 94016"
176632,AAA Batteries (4-pack),1,2.99,04/14/19 14:28,"814 Madison St, San Francisco, CA 94016"
176633,ThinkPad Laptop,1,999.99,04/23/19 14:03,"863 Hickory St, Los Angeles, CA 90001"
176634,Lightning Charging Cable,1,14.95,04/10/19 08:00,"311 Madison St, Atlanta, GA 30301"
176635,Vareebadd Phone,1,400,04/26/19 09:55,"85 North St, San Francisco, CA 94016"
176636,AA Batteries (4-pack),1,3.84,04/30/19 20:37,"140 10th St, Boston, MA 02215"
176637,AAA Batteries (4-pack),1,2.99,04/17/19 10:03,"261 Sunset St, New York City, NY 10001"
176638,USB-C Charging Cable,1,11.95,04/20/19 08:33,"869 Cherry St, Boston, MA 02215"
176639,Macbook Pro Laptop,1,1700,04/28/19 16:14,"853 Cedar St, San Francisco, CA 94016"
176640,Wired Headphones,2,11.99,04/27/19 22:54,"164 Lake St, San Francisco, CA 94016"
176641,Lightning Charging Cable,1,14.95,04/25/19 21:36,"655 Sunset St, Boston, MA 02215"
176642,AA Batteries (4-pack),1,3.84,04/17/19 18:38,"72 Elm St, Portland, OR 97035"
176643,Macbook Pro Laptop,1,1700,04/27/19 21:32,"373 Adams St, Boston, MA 02215"
176644,USB-C Charging Cable,1,11.95,04/23/19 02:09,"962 7th St, Los Angeles, CA 90001"
176645,AAA Batteries (4-pack),3,2.99,04/26/19 18:38,"514 Lake St, Dallas, TX 75001"
176646,Macbook Pro Laptop,1,1700,04/22/19 07:14,"657 Adams St, Portland, OR 97035"
176647,Google Phone,1,600,04/21/19 19:40,"273 South St, Los Angeles, CA 90001"
176648,27in FHD Monitor,1,149.99,04/24/19 01:17,"732 2nd St, Portland, OR 97035"
176650,Lightning Charging Cable,1,14.95,04/12/19 16:47,"153 River St, Boston, MA 02215"
176653,AA Batteries (4-pack),1,3.84,04/26/19 19:20,"285 Chestnut St, San Francisco, CA 94016"
176654,USB-C Charging Cable,1,11.95,04/15/19 19:35,"880 Lakeview St, Seattle, WA 98101"
176655,Apple Airpods Headphones,1,150,04/11/19 19:36,"848 Center St, San Francisco, CA 94016"
176656,Google Phone,1,600,04/12/19 16:42,"12 Lakeview St, New York City, NY 10001"
176657,ThinkPad Laptop,1,999.99,04/23/19 10:16,"774 Forest St, Los Angeles, CA 90001"
176658,AAA Batteries (4-pack),2,2.99,04/22/19 08:51,"573 Pine St, San Francisco, CA 94016"
176659,20in Monitor,1,109.99,04/29/19 14:40,"804 Church St, Dallas, TX 75001"
176660,AA Batteries (4-pack),1,3.84,04/16/19 17:10,"267 West St, Boston, MA 02215"
176661,Wired Headphones,1,11.99,04/25/19 20:40,"522 6th St, Atlanta, GA 30301"
176664,AAA Batteries (4-pack),1,2.99,04/13/19 18:59,"544 Madison St, Los Angeles, CA 90001"
176667,27in 4K Gaming Monitor,1,389.99,04/11/19 00:39,"92 11th St, Los Angeles, CA 90001"
176668,AA Batteries (4-pack),1,3.84,04/15/19 20:46,"56 2nd St, Dallas, TX 75001"
176670,Apple Airpods Headphones,1,150,04/25/19 21:23,"892 Willow St, San Francisco, CA 94016"
176671,AAA Batteries (4-pack),2,2.99,04/23/19 16:31,"738 Jefferson St, New York City, NY 10001"
176672,Lightning Charging Cable,1,14.95,04/12/19 11:07,"778 Maple St, New York City, NY 10001"
176672,USB-C Charging Cable,1,11.95,04/12/19 11:07,"778 Maple St, New York City, NY 10001"
176673,20in Monitor,1,109.99,04/10/19 08:17,"952 1st St, Boston, MA 02215"
176674,AAA Batteries (4-pack),3,2.99,04/20/19 20:53,"907 West St, Austin, TX 73301"
176678,AA Batteries (4-pack),2,3.84,04/19/19 22:12,"345 Sunset St, San Francisco, CA 94016"
176679,Apple Airpods Headphones,1,150,04/16/19 11:12,"245 West St, Boston, MA 02215"
176680,USB-C Charging Cable,1,11.95,04/13/19 11:28,"368 Main St, Los Angeles, CA 90001"
176681,Apple Airpods Headphones,1,150,04/20/19 10:39,"331 Cherry St, Seattle, WA 98101"
176681,ThinkPad Laptop,1,999.99,04/20/19 10:39,"331 Cherry St, Seattle, WA 98101"
176682,Lightning Charging Cable,1,14.95,04/27/19 06:19,"593 Adams St, Boston, MA 02215"
176684,USB-C Charging Cable,1,11.95,04/17/19 00:51,"293 Washington St, Los Angeles, CA 90001"
176685,34in Ultrawide Monitor,1,379.99,04/23/19 22:53,"114 10th St, New York City, NY 10001"
176686,Wired Headphones,1,11.99,04/17/19 15:17,"892 10th St, Austin, TX 73301"
176687,Macbook Pro Laptop,1,1700,04/30/19 10:26,"121 Wilson St, Los Angeles, CA 90001"
176688,Flatscreen TV,1,300,04/20/19 18:25,"229 Church St, San Francisco, CA 94016"
176689,Bose SoundSport Headphones,1,99.99,04/24/19 17:15,"659 Lincoln St, New York City, NY 10001"
176689,AAA Batteries (4-pack),2,2.99,04/24/19 17:15,"659 Lincoln St, New York City, NY 10001"
176691,AAA Batteries (4-pack),1,2.99,04/12/19 11:57,"991 Lincoln St, Los Angeles, CA 90001"
176693,AA Batteries (4-pack),1,3.84,04/22/19 09:00,"252 Walnut St, San Francisco, CA 94016"
176695,AA Batteries (4-pack),2,3.84,04/12/19 20:50,"709 Lake St, Seattle, WA 98101"
176697,Wired Headphones,1,11.99,04/20/19 22:38,"675 Center St, New York City, NY 10001"
176699,Bose SoundSport Headphones,1,99.99,04/28/19 18:04,"49 Jefferson St, Boston, MA 02215"
176701,USB-C Charging Cable,1,11.95,04/11/19 13:05,"128 Church St, Austin, TX 73301"
176702,AA Batteries (4-pack),1,3.84,04/23/19 19:44,"896 Sunset St, Seattle, WA 98101"
176703,20in Monitor,1,109.99,04/17/19 10:00,"748 Washington St, New York City, NY 10001"
176704,AA Batteries (4-pack),2,3.84,04/17/19 10:00,"909 Center St, Seattle, WA 98101"
176706,Lightning Charging Cable,1,14.95,04/13/19 13:32,"309 South St, New York City, NY 10001"
176707,Apple Airpods Headphones,1,150,04/13/19 10:34,"408 Center St, Portland, OR 97035"
176708,Wired Headphones,1,11.99,04/28/19 23:03,"542 Ridge St, New York City, NY 10001"
176709,AA Batteries (4-pack),1,3.84,04/24/19 14:17,"971 Church St, Dallas, TX 75001"
176711,Flatscreen TV,1,300,04/30/19 10:58,"796 River St, Dallas, TX 75001"
176712,Google Phone,1,600,04/20/19 05:21,"910 Washington St, San Francisco, CA 94016"
176713,Wired Headphones,1,11.99,04/21/19 10:48,"498 Walnut St, San Francisco, CA 94016"
176714,USB-C Charging Cable,1,11.95,04/26/19 23:34,"303 Spruce St, Los Angeles, CA 90001"
176715,Apple Airpods Headphones,1,150,04/27/19 16:43,"258 Jefferson St, San Francisco, CA 94016"
176716,Wired Headphones,1,11.99,04/24/19 14:43,"794 7th St, Los Angeles, CA 90001"
176717,Apple Airpods Headphones,1,150,04/19/19 10:34,"490 Lakeview St, Atlanta, GA 30301"
176718,Lightning Charging Cable,1,14.95,04/22/19 19:14,"672 Sunset St, Los Angeles, CA 90001"
176719,Flatscreen TV,1,300,04/27/19 13:07,"602 Hickory St, Boston, MA 02215"
176720,Lightning Charging Cable,1,14.95,04/21/19 10:35,"556 South St, Portland, OR 97035"
176721,AAA Batteries (4-pack),1,2.99,04/26/19 21:08,"469 7th St, San Francisco, CA 94016"
176723,27in 4K Gaming Monitor,1,389.99,04/19/19 21:31,"613 12th St, Portland, OR 97035"
176724,Lightning Charging Cable,1,14.95,04/26/19 20:59,"34 12th St, San Francisco, CA 94016"
176725,AA Batteries (4-pack),2,3.84,04/15/19 14:33,"630 14th St, San Francisco, CA 94016"
176726,USB-C Charging Cable,1,11.95,04/13/19 18:14,"979 8th St, Los Angeles, CA 90001"
176727,Lightning Charging Cable,1,14.95,04/14/19 14:26,"218 Hickory St, Los Angeles, CA 90001"
176728,Lightning Charging Cable,1,14.95,04/21/19 07:38,"516 Park St, Atlanta, GA 30301"
176729,USB-C Charging Cable,1,11.95,04/24/19 09:57,"637 9th St, Seattle, WA 98101"
176730,Bose SoundSport Headphones,1,99.99,04/17/19 08:27,"403 Ridge St, New York City, NY 10001"
176731,AAA Batteries (4-pack),2,2.99,04/21/19 16:17,"36 Lincoln St, San Francisco, CA 94016"
176732,iPhone,1,700,04/23/19 09:33,"504 Wilson St, Dallas, TX 75001"
176733,20in Monitor,1,109.99,04/11/19 13:31,"575 Hickory St, San Francisco, CA 94016"
176735,27in FHD Monitor,1,149.99,04/16/19 23:52,"802 Ridge St, Austin, TX 73301"
176736,AA Batteries (4-pack),1,3.84,04/17/19 11:48,"421 2nd St, Los Angeles, CA 90001"
176740,Bose SoundSport Headphones,1,99.99,04/24/19 15:10,"699 Washington St, Dallas, TX 75001"
176741,USB-C Charging Cable,1,11.95,04/29/19 18:49,"990 Ridge St, San Francisco, CA 94016"
176742,Wired Headphones,1,11.99,04/17/19 09:54,"115 Forest St, Los Angeles, CA 90001"
176744,Lightning Charging Cable,1,14.95,04/14/19 19:59,"937 Maple St, Los Angeles, CA 90001"
176745,Wired Headphones,1,11.99,04/24/19 09:23,"461 Adams St, Los Angeles, CA 90001"
176747,Macbook Pro Laptop,1,1700,04/27/19 15:04,"645 7th St, San Francisco, CA 94016"
176748,Flatscreen TV,1,300,04/24/19 15:28,"339 13th St, Boston, MA 02215"
176749,ThinkPad Laptop,1,999.99,04/26/19 07:55,"322 Adams St, Seattle, WA 98101"
176750,AA Batteries (4-pack),1,3.84,04/13/19 23:52,"255 Cedar St, Austin, TX 73301"
176751,AAA Batteries (4-pack),1,2.99,04/18/19 13:01,"258 4th St, San Francisco, CA 94016"
176752,AA Batteries (4-pack),1,3.84,04/13/19 23:59,"665 Wilson St, San Francisco, CA 94016"
176757,AA Batteries (4-pack),1,3.84,04/11/19 20:28,"79 Hickory St, Portland, OR 97035"
176758,34in Ultrawide Monitor,1,379.99,04/18/19 21:26,"166 Highland St, San Francisco, CA 94016"
176761,Apple Airpods Headphones,1,150,04/26/19 20:00,"830 2nd St, San Francisco, CA 94016"
176762,AA Batteries (4-pack),1,3.84,04/18/19 14:06,"977 1st St, Seattle, WA 98101"
176763,USB-C Charging Cable,1,11.95,04/25/19 13:36,"638 Johnson St, San Francisco, CA 94016"
176764,Wired Headphones,1,11.99,04/16/19 19:52,"652 Center St, Atlanta, GA 30301"
176765,USB-C Charging Cable,1,11.95,04/14/19 20:44,"729 Ridge St, San Francisco, CA 94016"
176766,AA Batteries (4-pack),2,3.84,04/21/19 19:52,"84 Johnson St, Boston, MA 02215"
176769,AA Batteries (4-pack),1,3.84,04/29/19 14:14,"206 10th St, San Francisco, CA 94016"
176771,Lightning Charging Cable,1,14.95,04/24/19 17:40,"403 11th St, New York City, NY 10001"
176772,AA Batteries (4-pack),1,3.84,04/10/19 21:48,"426 14th St, New York City, NY 10001"
176773,AAA Batteries (4-pack),2,2.99,04/25/19 20:07,"30 9th St, Portland, ME 04101"
176774,Lightning Charging Cable,1,14.95,04/25/19 15:06,"372 Church St, Los Angeles, CA 90001"
176774,USB-C Charging Cable,1,11.95,04/25/19 15:06,"372 Church St, Los Angeles, CA 90001"
176776,Bose SoundSport Headphones,1,99.99,04/24/19 23:28,"613 Washington St, Seattle, WA 98101"
176777,Apple Airpods Headphones,1,150,04/14/19 16:53,"163 Jackson St, Portland, OR 97035"
176778,34in Ultrawide Monitor,1,379.99,04/12/19 17:46,"201 Madison St, San Francisco, CA 94016"
176780,Lightning Charging Cable,1,14.95,04/18/19 23:51,"52 Walnut St, New York City, NY 10001"
176782,Apple Airpods Headphones,1,150,04/22/19 13:42,"993 13th St, San Francisco, CA 94016"
176787,Google Phone,1,600,04/14/19 10:10,"180 Pine St, Los Angeles, CA 90001"
176788,Bose SoundSport Headphones,1,99.99,04/15/19 04:39,"200 North St, New York City, NY 10001"
176789,Lightning Charging Cable,1,14.95,04/21/19 20:15,"990 Meadow St, San Francisco, CA 94016"
176790,AAA Batteries (4-pack),1,2.99,04/28/19 12:07,"689 9th St, Austin, TX 73301"
176791,Google Phone,1,600,04/21/19 11:43,"908 Jackson St, Los Angeles, CA 90001"
176792,27in 4K Gaming Monitor,1,389.99,04/30/19 19:29,"772 11th St, Atlanta, GA 30301"
176793,Wired Headphones,1,11.99,04/17/19 17:09,"147 South St, San Francisco, CA 94016"
176794,Lightning Charging Cable,1,14.95,04/10/19 21:40,"425 Adams St, Dallas, TX 75001"
176795,Wired Headphones,1,11.99,04/13/19 11:46,"360 Center St, San Francisco, CA 94016"
176797,Google Phone,1,600,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001"
176797,Bose SoundSport Headphones,1,99.99,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001"
176797,Wired Headphones,1,11.99,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001"
176801,Vareebadd Phone,1,400,04/28/19 18:52,"125 North St, San Francisco, CA 94016"
176802,AA Batteries (4-pack),1,3.84,04/29/19 17:33,"627 12th St, Boston, MA 02215"
176804,Bose SoundSport Headphones,1,99.99,04/21/19 21:56,"690 Walnut St, Seattle, WA 98101"
176806,Macbook Pro Laptop,1,1700,04/22/19 13:26,"197 Cherry St, Austin, TX 73301"
176807,USB-C Charging Cable,1,11.95,04/21/19 17:13,"758 Hill St, Seattle, WA 98101"
176808,Google Phone,1,600,04/28/19 18:03,"933 Meadow St, San Francisco, CA 94016"
176808,Wired Headphones,1,11.99,04/28/19 18:03,"933 Meadow St, San Francisco, CA 94016"
176809,Bose SoundSport Headphones,2,99.99,04/19/19 01:14,"278 13th St, San Francisco, CA 94016"
176810,AAA Batteries (4-pack),1,2.99,04/30/19 14:57,"86 Meadow St, Atlanta, GA 30301"
176811,AA Batteries (4-pack),2,3.84,04/14/19 23:02,"456 13th St, Dallas, TX 75001"
176812,Wired Headphones,1,11.99,04/20/19 16:40,"569 Willow St, New York City, NY 10001"
176813,Google Phone,1,600,04/28/19 18:01,"269 Hill St, Atlanta, GA 30301"
176813,Wired Headphones,1,11.99,04/28/19 18:01,"269 Hill St, Atlanta, GA 30301"
176816,27in 4K Gaming Monitor,1,389.99,04/19/19 20:14,"623 Lincoln St, Portland, OR 97035"
176817,Lightning Charging Cable,1,14.95,04/26/19 20:47,"284 Walnut St, Seattle, WA 98101"
176819,AA Batteries (4-pack),2,3.84,04/15/19 05:44,"615 9th St, Portland, OR 97035"
176820,USB-C Charging Cable,1,11.95,04/17/19 12:10,"654 Adams St, Boston, MA 02215"
176821,34in Ultrawide Monitor,1,379.99,04/18/19 15:08,"72 Meadow St, San Francisco, CA 94016"
176822,AAA Batteries (4-pack),1,2.99,04/22/19 19:50,"40 Cedar St, Seattle, WA 98101"
176825,LG Washing Machine,1,600.0,04/13/19 22:31,"338 6th St, San Francisco, CA 94016"
176826,Bose SoundSport Headphones,1,99.99,04/11/19 00:15,"72 Meadow St, San Francisco, CA 94016"
176827,AAA Batteries (4-pack),1,2.99,04/20/19 13:36,"465 Hickory St, Los Angeles, CA 90001"
176829,Wired Headphones,1,11.99,04/30/19 09:09,"335 Wilson St, San Francisco, CA 94016"
176830,Wired Headphones,1,11.99,04/18/19 12:02,"663 5th St, Austin, TX 73301"
176832,Apple Airpods Headphones,1,150,04/19/19 20:21,"533 Spruce St, Los Angeles, CA 90001"
176833,Wired Headphones,1,11.99,04/21/19 19:32,"226 Madison St, Boston, MA 02215"
176834,Lightning Charging Cable,1,14.95,04/15/19 20:42,"193 Forest St, San Francisco, CA 94016"
176835,USB-C Charging Cable,1,11.95,04/23/19 16:55,"628 10th St, Boston, MA 02215"
176836,USB-C Charging Cable,2,11.95,04/10/19 14:20,"857 Hickory St, Boston, MA 02215"
176837,Lightning Charging Cable,1,14.95,04/10/19 12:29,"213 River St, New York City, NY 10001"
176839,20in Monitor,1,109.99,04/10/19 07:19,"625 Willow St, Boston, MA 02215"
176841,AAA Batteries (4-pack),3,2.99,04/26/19 22:50,"177 Highland St, San Francisco, CA 94016"
176843,34in Ultrawide Monitor,1,379.99,04/21/19 11:22,"733 Maple St, Atlanta, GA 30301"
176844,AA Batteries (4-pack),1,3.84,04/23/19 18:48,"983 Main St, Boston, MA 02215"
176845,USB-C Charging Cable,1,11.95,04/15/19 14:26,"925 Cedar St, San Francisco, CA 94016"
176846,USB-C Charging Cable,1,11.95,04/19/19 09:03,"599 10th St, New York City, NY 10001"
176848,27in FHD Monitor,1,149.99,04/28/19 18:09,"442 Center St, Boston, MA 02215"
176849,34in Ultrawide Monitor,1,379.99,04/22/19 10:59,"309 West St, San Francisco, CA 94016"
176853,AA Batteries (4-pack),1,3.84,04/24/19 11:41,"858 14th St, New York City, NY 10001"
176854,AA Batteries (4-pack),1,3.84,04/11/19 22:05,"460 South St, Los Angeles, CA 90001"
176855,Wired Headphones,1,11.99,04/21/19 16:42,"103 12th St, Los Angeles, CA 90001"
176856,Lightning Charging Cable,1,14.95,04/13/19 10:59,"459 8th St, San Francisco, CA 94016"
176857,Bose SoundSport Headphones,1,99.99,04/30/19 07:18,"418 14th St, Portland, OR 97035"
176858,AAA Batteries (4-pack),1,2.99,04/16/19 13:25,"669 Park St, Los Angeles, CA 90001"
176859,AA Batteries (4-pack),1,3.84,04/15/19 10:53,"525 Adams St, New York City, NY 10001"
176861,Bose SoundSport Headphones,1,99.99,04/14/19 13:01,"370 9th St, Los Angeles, CA 90001"
176862,AAA Batteries (4-pack),1,2.99,04/29/19 11:37,"267 Willow St, San Francisco, CA 94016"
176863,27in FHD Monitor,1,149.99,04/19/19 17:18,"64 Maple St, New York City, NY 10001"
176865,AA Batteries (4-pack),1,3.84,04/18/19 14:28,"952 Washington St, New York City, NY 10001"
176867,AAA Batteries (4-pack),1,2.99,04/25/19 21:00,"483 Washington St, San Francisco, CA 94016"
176869,Apple Airpods Headphones,1,150,04/23/19 18:33,"861 2nd St, Seattle, WA 98101"
176871,AA Batteries (4-pack),1,3.84,04/29/19 20:02,"489 9th St, Dallas, TX 75001"
176872,AA Batteries (4-pack),1,3.84,04/15/19 12:17,"678 Madison St, Los Angeles, CA 90001"
176874,AAA Batteries (4-pack),1,2.99,04/15/19 11:04,"325 Pine St, New York City, NY 10001"
176875,27in 4K Gaming Monitor,1,389.99,04/23/19 19:26,"727 Forest St, San Francisco, CA 94016"
176876,Bose SoundSport Headphones,1,99.99,04/23/19 21:15,"263 Hickory St, Boston, MA 02215"
176877,Lightning Charging Cable,1,14.95,04/10/19 15:48,"289 4th St, San Francisco, CA 94016"
176878,ThinkPad Laptop,1,999.99,04/13/19 09:15,"161 Highland St, San Francisco, CA 94016"
176879,Flatscreen TV,1,300,04/13/19 14:15,"370 Sunset St, Portland, ME 04101"
176881,Wired Headphones,1,11.99,04/22/19 20:59,"157 Sunset St, San Francisco, CA 94016"
176882,Wired Headphones,1,11.99,04/24/19 20:16,"929 Main St, Boston, MA 02215"
176883,Wired Headphones,2,11.99,04/15/19 09:24,"344 Dogwood St, New York City, NY 10001"
176884,USB-C Charging Cable,1,11.95,04/11/19 09:04,"813 Highland St, San Francisco, CA 94016"
176885,34in Ultrawide Monitor,1,379.99,04/22/19 21:26,"582 River St, Boston, MA 02215"
176886,Flatscreen TV,1,300,04/19/19 20:44,"410 8th St, San Francisco, CA 94016"
176888,Wired Headphones,1,11.99,04/15/19 13:57,"608 5th St, New York City, NY 10001"
176889,AAA Batteries (4-pack),1,2.99,04/17/19 21:22,"837 Madison St, Boston, MA 02215"
176890,USB-C Charging Cable,1,11.95,04/25/19 17:35,"950 8th St, Austin, TX 73301"
176892,AAA Batteries (4-pack),1,2.99,04/12/19 22:50,"165 Meadow St, Boston, MA 02215"
176893,AAA Batteries (4-pack),1,2.99,04/23/19 14:01,"794 Dogwood St, Seattle, WA 98101"
176894,Flatscreen TV,1,300,04/13/19 17:23,"589 Park St, San Francisco, CA 94016"
176895,Apple Airpods Headphones,1,150,04/24/19 08:44,"286 6th St, Boston, MA 02215"
176896,AAA Batteries (4-pack),2,2.99,04/24/19 17:41,"77 Johnson St, Dallas, TX 75001"
176898,Apple Airpods Headphones,1,150,04/18/19 17:05,"45 River St, New York City, NY 10001"
176900,Bose SoundSport Headphones,1,99.99,04/21/19 06:17,"356 North St, Boston, MA 02215"
176901,Lightning Charging Cable,1,14.95,04/22/19 14:37,"25 8th St, Atlanta, GA 30301"
176902,USB-C Charging Cable,1,11.95,04/11/19 14:49,"166 Dogwood St, Atlanta, GA 30301"
176904,AAA Batteries (4-pack),1,2.99,04/13/19 15:44,"782 Ridge St, Boston, MA 02215"
176905,27in FHD Monitor,1,149.99,04/12/19 07:40,"92 Spruce St, New York City, NY 10001"
176907,27in FHD Monitor,1,149.99,04/11/19 01:43,"120 Sunset St, Los Angeles, CA 90001"
176908,AAA Batteries (4-pack),1,2.99,04/25/19 20:53,"802 Maple St, Seattle, WA 98101"
176909,Wired Headphones,1,11.99,04/22/19 09:53,"692 Jackson St, Portland, ME 04101"
176910,AAA Batteries (4-pack),2,2.99,04/19/19 14:46,"573 2nd St, Los Angeles, CA 90001"
176911,AAA Batteries (4-pack),1,2.99,04/12/19 10:29,"346 13th St, Los Angeles, CA 90001"
176912,Apple Airpods Headphones,1,150,04/25/19 14:33,"862 7th St, Seattle, WA 98101"
176913,AAA Batteries (4-pack),1,2.99,04/20/19 19:09,"340 11th St, Atlanta, GA 30301"
176916,34in Ultrawide Monitor,1,379.99,04/18/19 07:45,"285 Cedar St, San Francisco, CA 94016"
176917,USB-C Charging Cable,1,11.95,04/14/19 19:50,"376 Sunset St, Boston, MA 02215"
176918,USB-C Charging Cable,1,11.95,04/10/19 09:57,"398 Elm St, Los Angeles, CA 90001"
176919,AAA Batteries (4-pack),1,2.99,04/29/19 07:02,"240 14th St, Boston, MA 02215"
176920,Apple Airpods Headphones,1,150,04/30/19 18:55,"117 Lake St, New York City, NY 10001"
176921,Lightning Charging Cable,1,14.95,04/24/19 17:56,"365 Wilson St, San Francisco, CA 94016"
176923,LG Washing Machine,1,600.0,04/26/19 12:48,"259 6th St, Los Angeles, CA 90001"
176924,Bose SoundSport Headphones,1,99.99,04/14/19 10:32,"375 4th St, New York City, NY 10001"
176925,Lightning Charging Cable,1,14.95,04/18/19 15:31,"920 Wilson St, New York City, NY 10001"
